title,text,site,date,category,class,url
Dickhead Boss Wants To Hit The Ground Running In 2025,"A COMPLETE visual replica of a gaping arsehole, local boss Jamie McCartlin, has informed staff on their first day back in 2025 that he wants to hit the ground running this year. In a circular email sent to staff that immediately led to rolling of eyes seen by WWN, McCartlin spoke of wanting ‘100%’ from staff, pointing to a less than stellar last quarter and how ‘some people around here won’t get away with coasting for another year’. “Not only is it the bastarding 2nd of January, it’s a Thursday. Save it for the first Monday of the year at the very least,” groused employee Cormac D’Arcy, who had hit the ground in 2025 and stayed there, hoping to sneak in a quick nap while no one way looking. “My internal work clock remains switched off until the Christmas Tree is fucked in the field down the road. So even if I wanted to hit, slam, bate the ground in 2025 it’ll have to wait,” offered Carmel Tullan, who didn’t make it past the first sentence in her boss’ email which began ‘New Year, New Focused Workforce’. For his part, McCartlin feels he is simply leading by example. “This ship is crew only, no passengers if you get what I’m saying. The only coasting around her is being done by the coastline down the way,” McCartlin said, communicating in empty jargon which appeared to make sense to him. Following up the email with a quick speech to the troops, McCartlin felt his message was getting through. “I won’t sugarcoat it, I need soldiers, people who eat, sleep and breathe this job. ,” concluded McCartlin, who neglected to mentioned he was offing on a two week skiing trip to Austria at the end of the month.",Waterford Whispers News,"January 6, 2025",business,Satire,https://waterfordwhispersnews.com/2025/01/06/dickhead-boss-wants-to-hit-the-ground-running-in-2025/
Organised Local Woman Straight Onto Revenue Portal To Get That €4.25 Tax Back She’s Owed,"HAVING CALCULATED the projected tax relief she is entitled to under the Remote Working Relief on electricity and broadband bills at the start of December, local woman Orna Stewart is primed and ready to file her 2024 tax return. With her company allowing a flexible working arrangement for employees which includes 3 days at home, Stewart clocked up three days working from home because she thinks she gets more done in the office and she is ready to claim back what is hers. “People have no idea how much they’re entitled to, just leaving money there on the table but not me, no way Jose, that €4.25 is mine!” Stewart said as she hovered over the submit button in her sitting room, on her day off, and the weather lovely outside and all. “But since the bills are in your name, you could claim for much more, even if we split them evenly,” Stewart’s husband Martin stated as he queried why the 33-year-old wasn’t entering the full amount paid through her account, unwittingly setting himself up to be subjected to an hour’s long lecture on honesty and ethics. “Here she is, right on queue,” said the automated system in receipt of Stewarts tax declaration, making her the first person in the country to submit her declaration for the 5th year running.",Waterford Whispers News,"January 3, 2025",local,Satire,https://waterfordwhispersnews.com/2025/01/03/organised-local-woman-straight-onto-revenue-portal-to-get-that-e4-25-tax-back-shes-owed/
“Eight Additional Data Centres Needed To Store Pictures Of Irish Snow” Energy Watchdog Warns,"THE COMMISSION FOR Regulation of Utilities in Ireland has called on the public to refrain from taking yet more photos of the snow as server capacities reach breaking point. “Data centres already consume a huge amount of our electricity, but Meta will need to break ground on another eight data centres if you keep uploading those photos of your snowman with a carrot for a dick,” cautioned the energy watchdog. Usually limiting itself to providing a free complaint resolution service, the CRU has felt the need to speak out before the energy grid buckles under the weight of picturesque landscape photos accompanied by the word ‘sneactha’. “We all know what snow fucking looks like lads, you’ve already taken 150 pictures of it, that’s enough. And anyway, they’re likely out of focus and partially covered by your fat fingers. The world will survive without your visual documentation of it all,” a CRU spokesperson added, as the light caught their face just right amid a background of beautiful cascading snow which acted as cotton wool blanket pulled over the nearby hills. “You better not be taking a fucking picture of me,” insisted the spokesperson, as this reporter’s iPhone camera’s flash went off brighter than a Chinese New Year fireworks display. UPDATE: The CRU also urged the public to be mindful of the carbon footprint created by taking 400 photos of your pets every hour, and the impact of giving a thumb’s up emoji to every single WhatsApp message you receive.",Waterford Whispers News,"January 6, 2025",local,Satire,https://waterfordwhispersnews.com/2025/01/06/eight-additional-data-centres-needed-to-store-pictures-of-irish-snow-energy-watchdog-warns/
Colin Farrell Asks If Three Golden Globes Are Redeemable For One Oscar,"EMERGING TRIUMPHANT from the Golden Globes for an incredible third time, Colin Farrell, universally lauded for his transformation as Batman villain the Penguin opted not to celebrate his win, instead getting straight onto the Oscars actor hotline. “Do I send them in the post and then you send out one of your ones, or how does it work?” Farrell asked over the phone, the audience’s applause still audible as he walked offstage at the glitzy ceremony last night. It is unclear where Farrell heard the rumour that a certain number of Globe trophies can be exchanged for an Oscar statue, but voicemail recordings obtained by Waterford Whispers News confirm the celebrated performer is keen to see the exchange happen. “There’s no way Meryl hasn’t exchanged a few of her 9 Globes for one Oscar, don’t be messing me around lads. Playing psycho Henry Drax in The North Water wasn’t exactly a stretch for me, just saying,” one voicemail began, left several seconds after Farrell finished recording his previous message. “Enough time has passed, it’s okay to finally admit you made a mistake. Sean Penn in ‘Milk’? Over me in ‘In Bruges’, give over,” continued Farrell, the sound of his three Golden Globes chiming off one another as he tried to shove them into a post box. Farrell’s angling for the gong handed out by the Academy of Motions Arts and Sciences has led to other actors calling for an established exchange rate value between different awards. “Everyone wants an Oscar, but is it the equivalent to three Golden Globes? And if it is then I’m guessing 25 IFTAs is equal to one MTV Movie Awards for Best Kiss?” one industry insider offered.",Waterford Whispers News,"January 6, 2025",entertainment,Satire,https://waterfordwhispersnews.com/2025/01/06/colin-farrell-asks-if-three-golden-globes-are-redeemable-for-one-oscar/
Remote Workers Wouldn’t Have Agreed To Work From Home If They Knew It Meant Zero Snow Days Off,"“I FEEL TRICKED” confirmed Carmel Foley, one of hundreds of thousands of workers granted the ability to work from home several days a week in recent years, as she stared mournfully out at heavy snow she couldn’t use as an excuse for a handy day off. “You can’t begin to understand how sneaky and satisfying it felt back with the big snow in 2018 when I told the office the roads to the were impassable due to snow. Back then I didn’t have a home work set up,” added another worker, whose employer would have laughed in their face back in 2018 if they asked for an ergonomic home desk and laptop working arrangement. Irish remote workers now face the prospect of foregoing a ‘snow day’ due to their home being equipped with the ability to do a day’s work, all while non-office workers given the day off fill their social media feeds with snowman building. “That’s a ‘The Chase’ repeat marathon in my boxers off the fucking cards,” griped one worker who has actually had several of those days recently over the Christmas but still feels like they’re missing out. “A snow day off from work is one of those sacred if rare rights of passage all office workers should be entitled to, like when you get a day off ‘cus someone in the warehouse loses an arm or the under the table hush payment when the boss can’t keep his arms to himself,” complained workers rights’ advocate Tony Dallon. Asked why remote workers didn’t just lie and say they had no electricity, workers responded in unison stating that every office has some ‘busybody prick’ who would actually check that with the ESB networks and rat on them.",Waterford Whispers News,"January 6, 2025",business,Satire,https://waterfordwhispersnews.com/2025/01/06/remote-workers-wouldnt-have-agreed-to-work-from-home-if-they-knew-it-meant-zero-snow-days-off/
“I’m Too Old And Rich To Be Righteous Anymore” – Bono,"IRISH singer-songwriter and former activist Bono clasped his hands and prayed to whatever God he worships these days while receiving the US Presidential Medal of Freedom from outgoing president and Zionist Joe Biden, admitting that yes, he’s too old and rich to be righteous anymore. Resembling an obedient child receiving his First Holy Communion while staring into the heavens, the almost billionaire cast decades of activism and calling out warmongers from his mind in favour of the highest civilian award of the United States usually given to those for their ‘meritorious contribution to either the security interests of the United States, cultural or other significant public or private endeavours or world peace’. “Look, we’ll forget about that last part there and just say it’s for the first two,” Biden reassured Bono as he continued to make a holy show out of his homeland in front of the world. “We’ll get you a nice site on the Gaza strip when we’re finished. The seaside property there is to die for”. Sir Bono, once known for his outspoken opinions on war and famine, later defended accepting the award from the nation responsible for funding ongoing genocide in Gaza and dozens of other unjust wars over the last century. “There comes a time in an activists’ life when he has to de-activist, especially when it starts crossing over into financial and foreign policy interests of my elitist friends,” Bono explained, whose name coincidentally appeared in the Panama Papers alongside fellow medal recipient Hillary Clinton. “I know people back home will not be happy, but they’re just begrudgers. Please forgive them Lord as they do not know what they are doing. Amen. Cel-a-brat-ion! Uh oh oh”. Meanwhile, Michael J Fox, Denzel Washington, ‘Magic’ Johnson, Ralph Lauren and several others were just glad they were actual American citizens and thus avoided such criticism from people calling for an end to the Palestinian genocide.",Waterford Whispers News,"January 6, 2025",entertainment,Satire,https://waterfordwhispersnews.com/2025/01/06/im-too-old-and-rich-to-be-righteous-anymore-bono/
Irish Couples Under Increasing Pressure To Have ‘Mini-moon’,"A NEW SURVEY of Irish couples reveals that many feel crushing pressure to go on a ‘mini-moon’ despite ‘stupid fucking mini-moons’ only coming to prominence in recent years. “I’d never heard of it before but now all because she saw randomer who is dead good at putting make up on herself on Instagram had one, herself is off down the Credit Union,” explained oblivious groom to be Daniel Dennan. A toxic mix of notions, societal pressure and following influencers who get all this stuff for free, has, according to the recent survey led to 92% of couples planning a wedding or newly married convincing themselves they might not be allowed stay married under the eyes of the law unless they go on a romantic mini-honeymoon. “Suddenly, one day out of nowhere it becomes an accepted and demanded practice in society. Notions on crystal meth. Kind of like when everyone was perfectly happy carrying water around in a plastic bottle but now everyone has been convinced you need a hardy metal container that is so oversized it can store the contents of an Olympic sized-swimming pool in it, baffles the mind but here we are,” explained g’way-out-of-that expert Shona Ward. “A fucking mini-moon? No, you idiot, that’s what the honeymoon is for. That’s the holiday. You don’t have to have a little holiday so Paris doesn’t get jealous of your two weeks in the Caribbean. Are you mad? Why are you doing this? Why are you like this?” one bride-to-be screamed at her irrational reflection in the mirror, minutes before dropping €12000 on a 36-hour trip to France.",Waterford Whispers News,"January 2, 2025",lifestyle,Satire,https://waterfordwhispersnews.com/2025/01/02/irish-couples-under-increasing-pressure-to-have-minimoon/
5 Realistic New Year’s Resolutions,"EVERY YEAR thousands of Irish people set themselves unrealistic goals as so-called NEw Year’s resolutions and fail miserably when it comes to achieving anything. Why set the bar at an unobtainable level when there are some real everyday improvements to be made and very achievable targets. Check out these realistic New Year’s resolutions: 1) Drink a glass of water over a 12 month period 365 days x 1.3ml per day comes in at 500ml. You can do it. Believe in yourself. Transform the way you attack the day! 2) Be near, around or in the general vicinity of a gym or someone who goes to a gym Beware of the lazy pricks who duck out of any fitness regime after January, they don’t count for the other 11 months of the year. 3) Occasionally get dressed Why hold yourself to the toxic Instagram-filtered perfection of ‘getting dressed every day’. Three days on, four days off is a good start. Don’t set unrealistic expectations that society pressures people to conform to. Pyjamas most days are fine. You don’t even have to wash they that much. 4) Briefly glance at healthy salads in the supermarket before swiftly moving on If you want to take it one step further, put a pre-made salad in your basket before later abandoning on a shelf in the biscuit aisle. 5) Successfully download Duolingo. No need to put the app icon on the main screen where it will taunt you And if you really want to push yourself, maybe learn some swears words in German, Spanish or French.",Waterford Whispers News,"January 1, 2025",entertainment,Satire,https://waterfordwhispersnews.com/2025/01/01/5-realistic-new-years-resolutions/
Seeing ‘Elder Millennials’ In News Headlines Like A Stab In The Heart,"MILLENNIALS have urged the media to choose their words more carefully after reports dozens of people born between in the 80s and 90s have suffered cataclysmic emotional breakdowns at seeing ‘elder millennials’ in headlines. “You can’t be elder anything if you are still part the fresh young generation that’s just emerged and is defining culture. Fashion, music, art, film, we’re the zeitgeist,” falsely alleged geriatric millennial Susie Earley. The warning to be more mindful of the words people use has been extended to workplace settings which encompasses people just entering the workforce for the very first time. “If you even so much as try and say ‘oh, I wasn’t born then so it was before my time’ to me, I’ll send you the bills for my therapy, One Tree Hill isn’t ‘classic TV’,” sobbed office worker John Sconnell. Not helping the situation, the words ‘elder millennials’ often precede headlines such as ‘still have f-all hope of affording a house’. “Like, what the fuck are you talking about? We’re the tech generation,” offered another near pensionable millennial, who is too afraid to use ChatGPT because they think robots will burst through their window. UPDATE: An emergency team of therapists have been deployed to millennials after a meme stating ‘we’re as close to the year 2000 as people were in 1975’ began doing the rounds.",Waterford Whispers News,"December 30, 2024",local,Satire,https://waterfordwhispersnews.com/2024/12/30/seeing-elder-millennials-in-news-headlines-like-a-stab-in-the-heart/
Nation’s Traffic At Standstill As Post-Christmas Re-turn Machine Queues Clog Roads,"TAILBACKS of 10 miles have been reported in some areas in Ireland today as people attempt to dispense with their post-Christmas cans of beer, in the first Christmas since the Re-turn recycling scheme was introduced. “Authorities should have seen this coming, we should have quadrupled the number of machines,” said one man from his car which he has been trapped in for 17 hours just outside the car park to his local Lidl such is the traffic. With Re-turn machines currently processing on average 121 cans per minute nationwide on the four remaining machines that aren’t out of order, the country’s main traffic arteries are more clogged than your heart after a third helping a gravy covered turkey. “I didn’t think it through when I got in the eight slabs for the Christmas, I usually have a mental breakdown when I do the post-Christmas dump run but I guess I’ll just have it now,” added one individual towing a trailer full of his haul of Christmas cans which included some from the days they had the in-laws and neighbours over. The problem has been exacerbated by the fact everyone currently in traffic thought they were getting the can return done before it dawned on anyone else, rendering being stuck in bastard traffic all the more heartbreaking. “I’m missing an Indiana Jones marathon on RTÉ,” said one driver, unaware the car they’ve been stuck behind for 2 hours is in fact made entirely of beer cans abandoned by a driver who gave up and fled long ago. UPDATE: Supermarkets with Re-turn machines are now providing hose down showers for drivers stuck in their cars for hours on end who now stink of stale alcohol emanating from their boots and back seats.",Waterford Whispers News,"December 26, 2024",local,Satire,https://waterfordwhispersnews.com/2024/12/26/nations-traffic-at-standstill-as-post-christmas-re-turn-machine-queues-clog-roads/
